"CombinaisonID","Replicates","Code","mix_ID","decay","N","C","P","lignin","cellulose","hemicellulose","wsc","CN","CP","NP"
"MPL21","A","MPL21A","pBETPENpCARBETpQUEROB","0.70431182","1.109258446","47.14248488","0.208901744","16.27071376","14.34303721","18.24076492","51.14548412","42.49909931","225.6682213","5.309953032"
"MPL21","C","MPL21C","pBETPENpCARBETpQUEROB","0.70431182","1.109258446","47.14248488","0.208901744","16.27071376","14.34303721","18.24076492","51.14548412","42.49909931","225.6682213","5.309953032"
"MPL21","D","MPL21D","pBETPENpCARBETpQUEROB","0.70431182","1.109258446","47.14248488","0.208901744","16.27071376","14.34303721","18.24076492","51.14548412","42.49909931","225.6682213","5.309953032"
"MPL21","F","MPL21F","pBETPENpCARBETpQUEROB","0.70431182","1.109258446","47.14248488","0.208901744","16.27071376","14.34303721","18.24076492","51.14548412","42.49909931","225.6682213","5.309953032"
"MPL22","A","MPL22A","pCARBETpPICABIpPINSYL","0.89632567","1.21788972","46.96810616","0.115700618","15.35287086","20.27655168","18.02480806","46.34576941","38.56515529","405.9451622","10.52621619"
"MPL22","C","MPL22C","pCARBETpPICABIpPINSYL","0.89632567","1.21788972","46.96810616","0.115700618","15.35287086","20.27655168","18.02480806","46.34576941","38.56515529","405.9451622","10.52621619"
"MPL22","D","MPL22D","pCARBETpPICABIpPINSYL","0.89632567","1.21788972","46.96810616","0.115700618","15.35287086","20.27655168","18.02480806","46.34576941","38.56515529","405.9451622","10.52621619"
"MPL22","F","MPL22F","pCARBETpPICABIpPINSYL","0.89632567","1.21788972","46.96810616","0.115700618","15.35287086","20.27655168","18.02480806","46.34576941","38.56515529","405.9451622","10.52621619"
"MPL23","A","MPL23A","pPICABIpPINSYLpQUEROB","0.77909649","1.141869532","47.92205683","0.146696364","18.97476173","20.64436847","17.17289947","43.20797033","41.96806684","326.6751515","7.783897997"
"MPL23","C","MPL23C","pPICABIpPINSYLpQUEROB","0.77909649","1.141869532","47.92205683","0.146696364","18.97476173","20.64436847","17.17289947","43.20797033","41.96806684","326.6751515","7.783897997"
"MPL23","D","MPL23D","pPICABIpPINSYLpQUEROB","0.77909649","1.141869532","47.92205683","0.146696364","18.97476173","20.64436847","17.17289947","43.20797033","41.96806684","326.6751515","7.783897997"
"MPL23","F","MPL23F","pPICABIpPINSYLpQUEROB","0.77909649","1.141869532","47.92205683","0.146696364","18.97476173","20.64436847","17.17289947","43.20797033","41.96806684","326.6751515","7.783897997"
"MPL24","A","MPL24A","pCARBETpPINSYLpQUEROB","0.871679793","1.284536031","47.15048387","0.174145092","14.72555856","18.93707124","17.50494381","48.83242639","36.70623692","270.7540213","7.376240226"
"MPL24","C","MPL24C","pCARBETpPINSYLpQUEROB","0.871679793","1.284536031","47.15048387","0.174145092","14.72555856","18.93707124","17.50494381","48.83242639","36.70623692","270.7540213","7.376240226"
"MPL24","D","MPL24D","pCARBETpPINSYLpQUEROB","0.871679793","1.284536031","47.15048387","0.174145092","14.72555856","18.93707124","17.50494381","48.83242639","36.70623692","270.7540213","7.376240226"
"MPL24","F","MPL24F","pCARBETpPINSYLpQUEROB","0.871679793","1.284536031","47.15048387","0.174145092","14.72555856","18.93707124","17.50494381","48.83242639","36.70623692","270.7540213","7.376240226"
"MPL25","A","MPL25A","pCARBETpPICABIpQUEROB","0.788245497","1.098417375","46.38233566","0.169264077","15.9422753","17.13776277","17.60890249","49.31105944","42.2265131","274.0235054","6.489370902"
"MPL25","C","MPL25C","pCARBETpPICABIpQUEROB","0.788245497","1.098417375","46.38233566","0.169264077","15.9422753","17.13776277","17.60890249","49.31105944","42.2265131","274.0235054","6.489370902"
"MPL25","D","MPL25D","pCARBETpPICABIpQUEROB","0.788245497","1.098417375","46.38233566","0.169264077","15.9422753","17.13776277","17.60890249","49.31105944","42.2265131","274.0235054","6.489370902"
"MPL25","F","MPL25F","pCARBETpPICABIpQUEROB","0.788245497","1.098417375","46.38233566","0.169264077","15.9422753","17.13776277","17.60890249","49.31105944","42.2265131","274.0235054","6.489370902"
"MPL26","A","MPL26A","pCARBETpPICABIpPINSYLpQUEROB","0.786634655","1.185678164","47.10574563","0.151451538","16.24886661","19.24893854","17.57788846","46.92430639","39.72894758","311.0285071","7.828762806"
"MPL26","C","MPL26C","pCARBETpPICABIpPINSYLpQUEROB","0.786634655","1.185678164","47.10574563","0.151451538","16.24886661","19.24893854","17.57788846","46.92430639","39.72894758","311.0285071","7.828762806"
"MPL26","D","MPL26D","pCARBETpPICABIpPINSYLpQUEROB","0.786634655","1.185678164","47.10574563","0.151451538","16.24886661","19.24893854","17.57788846","46.92430639","39.72894758","311.0285071","7.828762806"
"MPL26","F","MPL26F","pCARBETpPICABIpPINSYLpQUEROB","0.786634655","1.185678164","47.10574563","0.151451538","16.24886661","19.24893854","17.57788846","46.92430639","39.72894758","311.0285071","7.828762806"
"MPL27","A","MPL27A","pBETPENpCARBETpPICABIpQUEROB","0.801627618","1.054219976","47.09974639","0.177519026","17.40773301","15.80341302","18.12975429","48.65909969","44.67734197","265.3222437","5.938630902"
"MPL27","C","MPL27C","pBETPENpCARBETpPICABIpQUEROB","0.801627618","1.054219976","47.09974639","0.177519026","17.40773301","15.80341302","18.12975429","48.65909969","44.67734197","265.3222437","5.938630902"
"MPL27","D","MPL27D","pBETPENpCARBETpPICABIpQUEROB","0.801627618","1.054219976","47.09974639","0.177519026","17.40773301","15.80341302","18.12975429","48.65909969","44.67734197","265.3222437","5.938630902"
"MPL27","F","MPL27F","pBETPENpCARBETpPICABIpQUEROB","0.801627618","1.054219976","47.09974639","0.177519026","17.40773301","15.80341302","18.12975429","48.65909969","44.67734197","265.3222437","5.938630902"
"MPL28","A","MPL28A","pBETPENpCARBETpPINSYLpQUEROB","0.866877947","1.193808968","47.67585754","0.181179788","16.49519546","17.15289437","18.05178528","48.3001249","39.93591842","263.1411493","6.589084708"
"MPL28","C","MPL28C","pBETPENpCARBETpPINSYLpQUEROB","0.866877947","1.193808968","47.67585754","0.181179788","16.49519546","17.15289437","18.05178528","48.3001249","39.93591842","263.1411493","6.589084708"
"MPL28","D","MPL28D","pBETPENpCARBETpPINSYLpQUEROB","0.866877947","1.193808968","47.67585754","0.181179788","16.49519546","17.15289437","18.05178528","48.3001249","39.93591842","263.1411493","6.589084708"
"MPL28","F","MPL28F","pBETPENpCARBETpPINSYLpQUEROB","0.866877947","1.193808968","47.67585754","0.181179788","16.49519546","17.15289437","18.05178528","48.3001249","39.93591842","263.1411493","6.589084708"
"MPL29","A","MPL29A","pBETPENpPICABIpPINSYLpQUEROB","0.744284123","1.086809094","48.25453726","0.160593242","19.68209783","18.43336729","17.80275202","44.08178286","44.40019645","300.4767621","6.7674647"
"MPL29","C","MPL29C","pBETPENpPICABIpPINSYLpQUEROB","0.744284123","1.086809094","48.25453726","0.160593242","19.68209783","18.43336729","17.80275202","44.08178286","44.40019645","300.4767621","6.7674647"
"MPL29","D","MPL29D","pBETPENpPICABIpPINSYLpQUEROB","0.744284123","1.086809094","48.25453726","0.160593242","19.68209783","18.43336729","17.80275202","44.08178286","44.40019645","300.4767621","6.7674647"
"MPL29","F","MPL29F","pBETPENpPICABIpPINSYLpQUEROB","0.744284123","1.086809094","48.25453726","0.160593242","19.68209783","18.43336729","17.80275202","44.08178286","44.40019645","300.4767621","6.7674647"
"MPL3","A","MPL3A","pPICABI","0.590819518","0.889104565","46.97153091","0.083370875","20.81879077","20.18454044","17.79672239","41.1999464","52.8301538","563.4045559","10.66445042"
"MPL3","C","MPL3C","pPICABI","0.590819518","0.889104565","46.97153091","0.083370875","20.81879077","20.18454044","17.79672239","41.1999464","52.8301538","563.4045559","10.66445042"
"MPL3","D","MPL3D","pPICABI","0.590819518","0.889104565","46.97153091","0.083370875","20.81879077","20.18454044","17.79672239","41.1999464","52.8301538","563.4045559","10.66445042"
"MPL3","F","MPL3F","pPICABI","0.590819518","0.889104565","46.97153091","0.083370875","20.81879077","20.18454044","17.79672239","41.1999464","52.8301538","563.4045559","10.66445042"
"MPL30","A","MPL30A","pBETPENpCARBETpPICABIpPINSYL","0.903391375","1.143824235","47.53907426","0.137346432","16.96567968","18.1575047","18.44168346","46.43513216","41.5615204","346.1252938","8.328022903"
"MPL30","C","MPL30C","pBETPENpCARBETpPICABIpPINSYL","0.903391375","1.143824235","47.53907426","0.137346432","16.96567968","18.1575047","18.44168346","46.43513216","41.5615204","346.1252938","8.328022903"
"MPL30","D","MPL30D","pBETPENpCARBETpPICABIpPINSYL","0.903391375","1.143824235","47.53907426","0.137346432","16.96567968","18.1575047","18.44168346","46.43513216","41.5615204","346.1252938","8.328022903"
"MPL30","F","MPL30F","pBETPENpCARBETpPICABIpPINSYL","0.903391375","1.143824235","47.53907426","0.137346432","16.96567968","18.1575047","18.44168346","46.43513216","41.5615204","346.1252938","8.328022903"
"MPL31","A","MPL31A","pBETPENpCARBETpPICABIpPINSYLpQUEROB","0.780577901","1.132868087","47.53499222","0.161618005","17.35991452","17.75922358","18.0007727","46.8800892","41.95986519","294.1194094","7.009541334"
"MPL31","C","MPL31C","pBETPENpCARBETpPICABIpPINSYLpQUEROB","0.780577901","1.132868087","47.53499222","0.161618005","17.35991452","17.75922358","18.0007727","46.8800892","41.95986519","294.1194094","7.009541334"
"MPL31","D","MPL31D","pBETPENpCARBETpPICABIpPINSYLpQUEROB","0.780577901","1.132868087","47.53499222","0.161618005","17.35991452","17.75922358","18.0007727","46.8800892","41.95986519","294.1194094","7.009541334"
"MPL31","F","MPL31F","pBETPENpCARBETpPICABIpPINSYLpQUEROB","0.780577901","1.132868087","47.53499222","0.161618005","17.35991452","17.75922358","18.0007727","46.8800892","41.95986519","294.1194094","7.009541334"
"MPL4","A","MPL4A","pCARBET","1.037527205","1.317104061","44.65681203","0.165717059","8.071181254","15.06264875","18.79285543","58.07331457","33.90530281","269.4762523","7.947908732"
"MPL4","C","MPL4C","pCARBET","1.037527205","1.317104061","44.65681203","0.165717059","8.071181254","15.06264875","18.79285543","58.07331457","33.90530281","269.4762523","7.947908732"
"MPL4","D","MPL4D","pCARBET","1.037527205","1.317104061","44.65681203","0.165717059","8.071181254","15.06264875","18.79285543","58.07331457","33.90530281","269.4762523","7.947908732"
"MPL4","F","MPL4F","pCARBET","1.037527205","1.317104061","44.65681203","0.165717059","8.071181254","15.06264875","18.79285543","58.07331457","33.90530281","269.4762523","7.947908732"
"MPL5","A","MPL5A","pQUEROB","0.545288657","1.089043498","47.51866404","0.258704296","18.93685388","16.16609911","16.23712966","48.65991735","43.63339401","183.6794547","4.209607318"
"MPL5","C","MPL5C","pQUEROB","0.545288657","1.089043498","47.51866404","0.258704296","18.93685388","16.16609911","16.23712966","48.65991735","43.63339401","183.6794547","4.209607318"
"MPL5","D","MPL5D","pQUEROB","0.545288657","1.089043498","47.51866404","0.258704296","18.93685388","16.16609911","16.23712966","48.65991735","43.63339401","183.6794547","4.209607318"
"MPL5","F","MPL5F","pQUEROB","0.545288657","1.089043498","47.51866404","0.258704296","18.93685388","16.16609911","16.23712966","48.65991735","43.63339401","183.6794547","4.209607318"
"MPL6","A","MPL6A","pBETPENpPINSYL","0.946481529","1.184544156","49.26397705","0.150148898","19.48637335","18.69141481","18.58857801","43.23363384","41.5889748","328.1008242","7.88912989"
"MPL6","C","MPL6C","pBETPENpPINSYL","0.946481529","1.184544156","49.26397705","0.150148898","19.48637335","18.69141481","18.58857801","43.23363384","41.5889748","328.1008242","7.88912989"
"MPL6","D","MPL6D","pBETPENpPINSYL","0.946481529","1.184544156","49.26397705","0.150148898","19.48637335","18.69141481","18.58857801","43.23363384","41.5889748","328.1008242","7.88912989"
"MPL6","F","MPL6F","pBETPENpPINSYL","0.946481529","1.184544156","49.26397705","0.150148898","19.48637335","18.69141481","18.58857801","43.23363384","41.5889748","328.1008242","7.88912989"
"MPL7","A","MPL7A","pBETPENpPICABI","0.764720013","0.905366172","48.11175474","0.142827375","21.31144845","15.99245211","18.74451603","43.95158342","53.14065867","336.8524741","6.33888406"
"MPL7","C","MPL7C","pBETPENpPICABI","0.764720013","0.905366172","48.11175474","0.142827375","21.31144845","15.99245211","18.74451603","43.95158342","53.14065867","336.8524741","6.33888406"
"MPL7","D","MPL7D","pBETPENpPICABI","0.764720013","0.905366172","48.11175474","0.142827375","21.31144845","15.99245211","18.74451603","43.95158342","53.14065867","336.8524741","6.33888406"
"MPL7","F","MPL7F","pBETPENpPICABI","0.764720013","0.905366172","48.11175474","0.142827375","21.31144845","15.99245211","18.74451603","43.95158342","53.14065867","336.8524741","6.33888406"
"MPL8","A","MPL8A","pBETPENpCARBET","0.986292048","1.119365921","46.95439529","0.184000467","14.93764369","13.43150626","19.24258255","52.3882675","41.94731538","255.1862829","6.08349499"
"MPL8","C","MPL8C","pBETPENpCARBET","0.986292048","1.119365921","46.95439529","0.184000467","14.93764369","13.43150626","19.24258255","52.3882675","41.94731538","255.1862829","6.08349499"
"MPL8","D","MPL8D","pBETPENpCARBET","0.986292048","1.119365921","46.95439529","0.184000467","14.93764369","13.43150626","19.24258255","52.3882675","41.94731538","255.1862829","6.08349499"
"MPL8","F","MPL8F","pBETPENpCARBET","0.986292048","1.119365921","46.95439529","0.184000467","14.93764369","13.43150626","19.24258255","52.3882675","41.94731538","255.1862829","6.08349499"
"MPL9","A","MPL9A","pBETPENpQUEROB","0.656527146","1.005335639","48.3853213","0.230494086","20.37048001","13.98323144","17.96471966","47.68156889","48.12852487","209.9200123","4.361654816"
"MPL9","C","MPL9C","pBETPENpQUEROB","0.656527146","1.005335639","48.3853213","0.230494086","20.37048001","13.98323144","17.96471966","47.68156889","48.12852487","209.9200123","4.361654816"
"MPL9","D","MPL9D","pBETPENpQUEROB","0.656527146","1.005335639","48.3853213","0.230494086","20.37048001","13.98323144","17.96471966","47.68156889","48.12852487","209.9200123","4.361654816"
"MPL9","F","MPL9F","pBETPENpQUEROB","0.656527146","1.005335639","48.3853213","0.230494086","20.37048001","13.98323144","17.96471966","47.68156889","48.12852487","209.9200123","4.361654816"
"MRL1","A","MRL1A","rPICABI","0.597670391","0.997526228","46.51823425","0.087188764","22.7059985","19.73752502","16.07827451","41.47820197","46.63359511","533.5347384","11.44099521"
"MRL1","C","MRL1C","rPICABI","0.597670391","0.997526228","46.51823425","0.087188764","22.7059985","19.73752502","16.07827451","41.47820197","46.63359511","533.5347384","11.44099521"
"MRL1","D","MRL1D","rPICABI","0.597670391","0.997526228","46.51823425","0.087188764","22.7059985","19.73752502","16.07827451","41.47820197","46.63359511","533.5347384","11.44099521"
"MRL1","F","MRL1F","rPICABI","0.597670391","0.997526228","46.51823425","0.087188764","22.7059985","19.73752502","16.07827451","41.47820197","46.63359511","533.5347384","11.44099521"
"MRL10","A","MRL10A","rACEPSErFAGSYL","0.694659556","0.945735514","45.26422564","0.048515982","21.33941591","18.51460203","17.05474124","43.09124083","47.8613999","932.9755621","19.49327776"
"MRL10","C","MRL10C","rACEPSErFAGSYL","0.694659556","0.945735514","45.26422564","0.048515982","21.33941591","18.51460203","17.05474124","43.09124083","47.8613999","932.9755621","19.49327776"
"MRL10","D","MRL10D","rACEPSErFAGSYL","0.694659556","0.945735514","45.26422564","0.048515982","21.33941591","18.51460203","17.05474124","43.09124083","47.8613999","932.9755621","19.49327776"
"MRL10","F","MRL10F","rACEPSErFAGSYL","0.694659556","0.945735514","45.26422564","0.048515982","21.33941591","18.51460203","17.05474124","43.09124083","47.8613999","932.9755621","19.49327776"
"MRL11","A","MRL11A","rABIALBrACEPSErFAGSYL","0.536865704","1.1014299","46.33534834","0.062550873","23.59157015","18.50733168","17.12863172","40.77246645","42.06835892","740.7626148","17.60854556"
"MRL11","C","MRL11C","rABIALBrACEPSErFAGSYL","0.536865704","1.1014299","46.33534834","0.062550873","23.59157015","18.50733168","17.12863172","40.77246645","42.06835892","740.7626148","17.60854556"
"MRL11","D","MRL11D","rABIALBrACEPSErFAGSYL","0.536865704","1.1014299","46.33534834","0.062550873","23.59157015","18.50733168","17.12863172","40.77246645","42.06835892","740.7626148","17.60854556"
"MRL11","F","MRL11F","rABIALBrACEPSErFAGSYL","0.536865704","1.1014299","46.33534834","0.062550873","23.59157015","18.50733168","17.12863172","40.77246645","42.06835892","740.7626148","17.60854556"
"MRL12","A","MRL12A","rACEPSErFAGSYLrPICABI","0.648833851","0.962999086","45.68222851","0.061406909","21.79494344","18.92224302","16.72925233","42.55356121","47.43745783","743.9265229","15.68225948"
"MRL12","C","MRL12C","rACEPSErFAGSYLrPICABI","0.648833851","0.962999086","45.68222851","0.061406909","21.79494344","18.92224302","16.72925233","42.55356121","47.43745783","743.9265229","15.68225948"
"MRL12","D","MRL12D","rACEPSErFAGSYLrPICABI","0.648833851","0.962999086","45.68222851","0.061406909","21.79494344","18.92224302","16.72925233","42.55356121","47.43745783","743.9265229","15.68225948"
"MRL12","F","MRL12F","rACEPSErFAGSYLrPICABI","0.648833851","0.962999086","45.68222851","0.061406909","21.79494344","18.92224302","16.72925233","42.55356121","47.43745783","743.9265229","15.68225948"
"MRL13","A","MRL13A","rABIALBrACEPSErPICABI","0.540344218","1.16427911","46.48248884","0.076732287","22.5971361","18.65898066","16.42322038","42.32066286","39.92383652","605.7748418","15.17326226"
"MRL13","C","MRL13C","rABIALBrACEPSErPICABI","0.540344218","1.16427911","46.48248884","0.076732287","22.5971361","18.65898066","16.42322038","42.32066286","39.92383652","605.7748418","15.17326226"
"MRL13","D","MRL13D","rABIALBrACEPSErPICABI","0.540344218","1.16427911","46.48248884","0.076732287","22.5971361","18.65898066","16.42322038","42.32066286","39.92383652","605.7748418","15.17326226"
"MRL13","F","MRL13F","rABIALBrACEPSErPICABI","0.540344218","1.16427911","46.48248884","0.076732287","22.5971361","18.65898066","16.42322038","42.32066286","39.92383652","605.7748418","15.17326226"
"MRL14","A","MRL14A","rABIALBrFAGSYLrPICABI","0.382894277","1.073107832","47.02421358","0.074151314","25.49705925","19.1709647","17.18306524","38.14891081","43.82058557","634.1656141","14.47186535"
"MRL14","C","MRL14C","rABIALBrFAGSYLrPICABI","0.382894277","1.073107832","47.02421358","0.074151314","25.49705925","19.1709647","17.18306524","38.14891081","43.82058557","634.1656141","14.47186535"
"MRL14","D","MRL14D","rABIALBrFAGSYLrPICABI","0.382894277","1.073107832","47.02421358","0.074151314","25.49705925","19.1709647","17.18306524","38.14891081","43.82058557","634.1656141","14.47186535"
"MRL14","F","MRL14F","rABIALBrFAGSYLrPICABI","0.382894277","1.073107832","47.02421358","0.074151314","25.49705925","19.1709647","17.18306524","38.14891081","43.82058557","634.1656141","14.47186535"
"MRL15","A","MRL15A","rABIALBrACEPSErFAGSYLrPICABI","0.505226822","1.075453982","46.38106982","0.068710346","23.37017723","18.81488001","16.86604242","40.94890033","43.12696834","675.0230885","15.6519949"
"MRL15","C","MRL15C","rABIALBrACEPSErFAGSYLrPICABI","0.505226822","1.075453982","46.38106982","0.068710346","23.37017723","18.81488001","16.86604242","40.94890033","43.12696834","675.0230885","15.6519949"
"MRL15","D","MRL15D","rABIALBrACEPSErFAGSYLrPICABI","0.505226822","1.075453982","46.38106982","0.068710346","23.37017723","18.81488001","16.86604242","40.94890033","43.12696834","675.0230885","15.6519949"
"MRL15","F","MRL15F","rABIALBrACEPSErFAGSYLrPICABI","0.505226822","1.075453982","46.38106982","0.068710346","23.37017723","18.81488001","16.86604242","40.94890033","43.12696834","675.0230885","15.6519949"
"MRL2","A","MRL2A","rABIALB","0.465807979","1.41281867","48.47759374","0.090620655","28.09587861","18.49279099","17.27641269","36.13491771","34.31267916","534.9508189","15.5904707"
"MRL2","C","MRL2C","rABIALB","0.465807979","1.41281867","48.47759374","0.090620655","28.09587861","18.49279099","17.27641269","36.13491771","34.31267916","534.9508189","15.5904707"
"MRL2","D","MRL2D","rABIALB","0.465807979","1.41281867","48.47759374","0.090620655","28.09587861","18.49279099","17.27641269","36.13491771","34.31267916","534.9508189","15.5904707"
"MRL2","F","MRL2F","rABIALB","0.465807979","1.41281867","48.47759374","0.090620655","28.09587861","18.49279099","17.27641269","36.13491771","34.31267916","534.9508189","15.5904707"
"MRL3","A","MRL3A","rFAGSYL","0.44094677","0.808978597","46.07681274","0.044644523","25.68930063","19.28257808","18.19450853","36.83361276","56.95677598","1032.082093","18.12044441"
"MRL3","C","MRL3C","rFAGSYL","0.44094677","0.808978597","46.07681274","0.044644523","25.68930063","19.28257808","18.19450853","36.83361276","56.95677598","1032.082093","18.12044441"
"MRL3","D","MRL3D","rFAGSYL","0.44094677","0.808978597","46.07681274","0.044644523","25.68930063","19.28257808","18.19450853","36.83361276","56.95677598","1032.082093","18.12044441"
"MRL3","F","MRL3F","rFAGSYL","0.44094677","0.808978597","46.07681274","0.044644523","25.68930063","19.28257808","18.19450853","36.83361276","56.95677598","1032.082093","18.12044441"
"MRL4","A","MRL4A","rACEPSE","0.805418419","1.082492431","44.45163854","0.052387441","16.98953119","17.74662597","15.91497395","49.34886889","41.06415645","848.5170792","20.66320491"
"MRL4","C","MRL4C","rACEPSE","0.805418419","1.082492431","44.45163854","0.052387441","16.98953119","17.74662597","15.91497395","49.34886889","41.06415645","848.5170792","20.66320491"
"MRL4","D","MRL4D","rACEPSE","0.805418419","1.082492431","44.45163854","0.052387441","16.98953119","17.74662597","15.91497395","49.34886889","41.06415645","848.5170792","20.66320491"
"MRL4","F","MRL4F","rACEPSE","0.805418419","1.082492431","44.45163854","0.052387441","16.98953119","17.74662597","15.91497395","49.34886889","41.06415645","848.5170792","20.66320491"
"MRL5","A","MRL5A","rABIALBrPICABI","0.586253886","1.205172449","47.497914","0.088904709","25.40093856","19.115158","16.6773436","38.80655984","39.41171574","534.2564445","13.55577737"
"MRL5","C","MRL5C","rABIALBrPICABI","0.586253886","1.205172449","47.497914","0.088904709","25.40093856","19.115158","16.6773436","38.80655984","39.41171574","534.2564445","13.55577737"
"MRL5","D","MRL5D","rABIALBrPICABI","0.586253886","1.205172449","47.497914","0.088904709","25.40093856","19.115158","16.6773436","38.80655984","39.41171574","534.2564445","13.55577737"
"MRL5","F","MRL5F","rABIALBrPICABI","0.586253886","1.205172449","47.497914","0.088904709","25.40093856","19.115158","16.6773436","38.80655984","39.41171574","534.2564445","13.55577737"
